. Sequence file : [sup35_aln_best_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	10   	-9893.49706	Yes        	4        	1.839    	0.398    	 0.33139   0.20210   0.21986   0.24665	-0.63110   0.09529   0.41922   0.11659  
      	     	          	           	          	           	             	                                      	 0.15625  -1.55802   0.15568   1.24609  
      	     	          	           	          	           	             	                                      	 0.63188   0.14310  -0.80939   0.03442  
      	     	          	           	          	           	             	                                      	 0.15665   1.02100   0.03068  -1.20833  

  #2	10   	-9722.44791	Yes        	4        	1.839    	0.398    	 0.32956   0.20428   0.21958   0.24658	-0.67043   0.10937   0.44896   0.11211  
      	     	          	           	          	           	             	                                      	 0.17643  -1.51265   0.16239   1.17383  
      	     	          	           	          	           	             	                                      	 0.67384   0.15108  -0.85263   0.02771  
      	     	          	           	          	           	             	                                      	 0.14984   0.97247   0.02467  -1.14698  

  #3	10   	-9696.50618	Yes        	4        	1.839    	0.398    	 0.36267   0.18061   0.22059   0.23613	-0.63578   0.12009   0.42751   0.08819  
      	     	          	           	          	           	             	                                      	 0.24114  -1.64766   0.12156   1.28496  
      	     	          	           	          	           	             	                                      	 0.70288   0.09952  -0.87217   0.06977  
      	     	          	           	          	           	             	                                      	 0.13545   0.98282   0.06518  -1.18345  

  #4	10   	-9871.72777	Yes        	4        	1.839    	0.398    	 0.34270   0.18818   0.23141   0.23770	-0.67307   0.09312   0.46482   0.11513  
      	     	          	           	          	           	             	                                      	 0.16958  -1.58538   0.15855   1.25724  
      	     	          	           	          	           	             	                                      	 0.68836   0.12894  -0.82987   0.01257  
      	     	          	           	          	           	             	                                      	 0.16599   0.99532   0.01224  -1.17354  

  #5	10   	-9608.04759	Yes        	4        	1.839    	0.398    	 0.35456   0.18166   0.22702   0.23676	-0.60471   0.12542   0.40449   0.07480  
      	     	          	           	          	           	             	                                      	 0.24479  -1.76049   0.17029   1.34541  
      	     	          	           	          	           	             	                                      	 0.63174   0.13627  -0.81315   0.04515  
      	     	          	           	          	           	             	                                      	 0.11201   1.03230   0.04329  -1.18760  

  #6	10   	-9450.42857	Yes        	4        	1.839    	0.398    	 0.34401   0.21097   0.21977   0.22525	-0.66085   0.10197   0.45022   0.10866  
      	     	          	           	          	           	             	                                      	 0.16627  -1.39584   0.13071   1.09885  
      	     	          	           	          	           	             	                                      	 0.70476   0.12548  -0.89058   0.06034  
      	     	          	           	          	           	             	                                      	 0.16595   1.02915   0.05887  -1.25397  

  #7	10   	-9906.11028	Yes        	4        	1.839    	0.398    	 0.32328   0.20813   0.22632   0.24227	-0.64680   0.08719   0.44460   0.11501  
      	     	          	           	          	           	             	                                      	 0.13543  -1.46588   0.12709   1.20336  
      	     	          	           	          	           	             	                                      	 0.63509   0.11688  -0.81381   0.06183  
      	     	          	           	          	           	             	                                      	 0.15346   1.03379   0.05776  -1.24502  

  #8	10   	-9649.09142	Yes        	4        	1.839    	0.398    	 0.33979   0.18787   0.22635   0.24600	-0.67797   0.11649   0.47103   0.09045  
      	     	          	           	          	           	             	                                      	 0.21070  -1.57538   0.12461   1.24007  
      	     	          	           	          	           	             	                                      	 0.70710   0.10342  -0.86910   0.05857  
