. Sequence file : [sup35_aln_best_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	10   	-9847.89134	Yes        	4        	0.463    	0.134    	 0.32215   0.19572   0.23797   0.24416	-0.99852   0.09672   0.78165   0.12015  
      	     	          	           	          	           	             	                                      	 0.15921  -1.06060   0.09942   0.80198  
      	     	          	           	          	           	             	                                      	 1.05814   0.08176  -1.14792   0.00802  
      	     	          	           	          	           	             	                                      	 0.15853   0.64285   0.00782  -0.80920  

  #2	10   	-9632.12996	Yes        	4        	0.699    	0.208    	 0.33800   0.19401   0.22275   0.24525	-0.71412   0.13659   0.49637   0.08116  
      	     	          	           	          	           	             	                                      	 0.23796  -1.54563   0.13914   1.16853  
      	     	          	           	          	           	             	                                      	 0.75321   0.12118  -0.89654   0.02214  
      	     	          	           	          	           	             	                                      	 0.11185   0.92438   0.02011  -1.05635  

  #3	10   	-9651.47673	Yes        	4        	0.796    	0.237    	 0.34519   0.19980   0.22492   0.23009	-0.62227   0.12586   0.40579   0.09062  
      	     	          	           	          	           	             	                                      	 0.21746  -1.60470   0.14622   1.24101  
      	     	          	           	          	           	             	                                      	 0.62277   0.12989  -0.78839   0.03572  
      	     	          	           	          	           	             	                                      	 0.13594   1.07760   0.03492  -1.24846  

  #4	10   	-9715.51786	Yes        	4        	1.037    	0.317    	 0.33861   0.19907   0.22628   0.23604	-0.61229   0.11464   0.40024   0.09741  
      	     	          	           	          	           	             	                                      	 0.19500  -1.62306   0.13790   1.29016  
      	     	          	           	          	           	             	                                      	 0.59895   0.12132  -0.75735   0.03708  
      	     	          	           	          	           	             	                                      	 0.13973   1.08806   0.03554  -1.26333  

  #5	10   	-9724.57634	Yes        	4        	0.707    	0.213    	 0.33375   0.19158   0.23411   0.24056	-0.74443   0.14168   0.51278   0.08997  
      	     	          	           	          	           	             	                                      	 0.24681  -1.49789   0.12298   1.12810  
      	     	          	           	          	           	             	                                      	 0.73101   0.10064  -0.88232   0.05067  
      	     	          	           	          	           	             	                                      	 0.12483   0.89843   0.04932  -1.07258  

  #6	10   	-9523.08735	Yes        	4        	0.559    	0.156    	 0.32154   0.19417   0.23656   0.24773	-0.70905   0.09833   0.48301   0.12772  
      	     	          	           	          	           	             	                                      	 0.16283  -1.49880   0.12427   1.21170  
      	     	          	           	          	           	             	                                      	 0.65653   0.10200  -0.81183   0.05331  
      	     	          	           	          	           	             	                                      	 0.16577   0.94970   0.05091  -1.16637  

  #7	10   	-9661.92875	Yes        	4        	0.662    	0.197    	 0.34826   0.19044   0.23676   0.22454	-0.61227   0.11777   0.40663   0.08788  
      	     	          	           	          	           	             	                                      	 0.21537  -1.70543   0.22047   1.26959  
      	     	          	           	          	           	             	                                      	 0.59812   0.17733  -0.78815   0.01270  
      	     	          	           	          	           	             	                                      	 0.13630   1.07678   0.01339  -1.22647  

  #8	10   	-9879.30176	Yes        	4        	0.692    	0.166    	 0.33743   0.20021   0.22074   0.24161	-0.67572   0.14411   0.45935   0.07226  
      	     	          	           	          	           	             	                                      	 0.24287  -1.54377   0.12305   1.17786  
      	     	          	           	          	           	             	                                      	 0.70216   0.11161  -0.86602   0.05225  
      	     	          	           	          	           	             	                                      	 0.10092   0.97604   0.04774  -1.12469  

  #9	10   	-9580.95757	Yes        	4        	0.882    	0.292    	 0.34560   0.19366   0.22249   0.23825	-0.64410   0.12981   0.42847   0.08583  
      	     	          	           	          	           	             	                                      	 0.23166  -1.60003   0.11305   1.25533  
      	     	          	           	          	           	             	                                      	 0.66556   0.09840  -0.81970   0.05574  
      	     	          	           	          	           	             	                                      	 0.12450   1.02036   0.05205  -1.19691  

  #10	10   	-9511.55769	Yes        	4        	0.533    	0.176    	 0.31768   0.19675   0.24220   0.24336	-0.73602   0.14842   0.49165   0.09595  
      	     	          	           	          	           	             	                                      	 0.23964  -1.57773   0.13755   1.20055  
      	     	          	           	          	           	             	                                      	 0.64487   0.11174  -0.76861   0.01201  
      	     	          	           	          	           	             	                                      	 0.12526   0.97060   0.01195  -1.10780  

